t,x,y,E
0.000,0.000000,0.000000,200.000000
0.010,0.141421,0.140931,200.000000
0.020,0.282843,0.280881,200.000000
0.030,0.424264,0.419850,200.000000
0.040,0.565685,0.557837,200.000000
0.050,0.707107,0.694844,200.000000
0.060,0.848528,0.830870,200.000000
0.070,0.989949,0.965915,200.000000
0.080,1.131371,1.099979,200.000000
0.090,1.272792,1.233062,200.000000
0.100,1.414214,1.365164,200.000000
0.110,1.555635,1.496284,200.000000
0.120,1.697056,1.626424,200.000000
0.130,1.838478,1.755583,200.000000
0.140,1.979899,1.883761,200.000000
0.150,2.121320,2.010958,200.000000
0.160,2.262742,2.137174,200.000000
0.170,2.404163,2.262409,200.000000
0.180,2.545584,2.386662,200.000000
0.190,2.687006,2.509935,200.000000
0.200,2.828427,2.632227,200.000000
0.210,2.969848,2.753538,200.000000
0.220,3.111270,2.873868,200.000000
0.230,3.252691,2.993217,200.000000
0.240,3.394113,3.111585,200.000000
0.250,3.535534,3.228971,200.000000
0.260,3.676955,3.345377,200.000000
0.270,3.818377,3.460802,200.000000
0.280,3.959798,3.575246,200.000000
0.290,4.101219,3.688709,200.000000
0.300,4.242641,3.801191,200.000000
0.310,4.384062,3.912692,200.000000
0.320,4.525483,4.023211,200.000000
0.330,4.666905,4.132750,200.000000
0.340,4.808326,4.241308,200.000000
0.350,4.949747,4.348885,200.000000
0.360,5.091169,4.455481,200.000000
0.370,5.232590,4.561096,200.000000
0.380,5.374012,4.665730,200.000000
0.390,5.515433,4.769382,200.000000
0.400,5.656854,4.872054,200.000000
0.410,5.798276,4.973745,200.000000
0.420,5.939697,5.074455,200.000000
0.430,6.081118,5.174184,200.000000
0.440,6.222540,5.272932,200.000000
0.450,6.363961,5.370699,200.000000
0.460,6.505382,5.467484,200.000000
0.470,6.646804,5.563289,200.000000
0.480,6.788225,5.658113,200.000000
0.490,6.929646,5.751956,200.000000
0.500,7.071068,5.844818,200.000000
0.510,7.212489,5.936699,200.000000
0.520,7.353911,6.027599,200.000000
0.530,7.495332,6.117517,200.000000
0.540,7.636753,6.206455,200.000000
0.550,7.778175,6.294412,200.000000
0.560,7.919596,6.381388,200.000000
0.570,8.061017,6.467383,200.000000
0.580,8.202439,6.552397,200.000000
0.590,8.343860,6.636430,200.000000
0.600,8.485281,6.719481,200.000000
0.610,8.626703,6.801552,200.000000
0.620,8.768124,6.882642,200.000000
0.630,8.909545,6.962751,200.000000
0.640,9.050967,7.041879,200.000000
0.650,9.192388,7.120026,200.000000
0.660,9.333810,7.197192,200.000000
0.670,9.475231,7.273376,200.000000
0.680,9.616652,7.348580,200.000000
0.690,9.758074,7.422803,200.000000
0.700,9.899495,7.496045,200.000000
0.710,10.040916,7.568306,200.000000
0.720,10.182338,7.639586,200.000000
0.730,10.323759,7.709885,200.000000
0.740,10.465180,7.779202,200.000000
0.750,10.606602,7.847539,200.000000
0.760,10.748023,7.914895,200.000000
0.770,10.889444,7.981270,200.000000
0.780,11.030866,8.046664,200.000000
0.790,11.172287,8.111077,200.000000
0.800,11.313708,8.174508,200.000000
0.810,11.455130,8.236959,200.000000
0.820,11.596551,8.298429,200.000000
0.830,11.737973,8.358918,200.000000
0.840,11.879394,8.418426,200.000000
0.850,12.020815,8.476953,200.000000
0.860,12.162237,8.534499,200.000000
0.870,12.303658,8.591063,200.000000
0.880,12.445079,8.646647,200.000000
0.890,12.586501,8.701250,200.000000
0.900,12.727922,8.754872,200.000000
0.910,12.869343,8.807513,200.000000
0.920,13.010765,8.859173,200.000000
0.930,13.152186,8.909852,200.000000
0.940,13.293607,8.959549,200.000000
0.950,13.435029,9.008266,200.000000
0.960,13.576450,9.056002,200.000000
0.970,13.717872,9.102757,200.000000
0.980,13.859293,9.148531,200.000000
0.990,14.000714,9.193324,200.000000
1.000,14.142136,9.237136,200.000000
1.010,14.283557,9.279966,200.000000
1.020,14.424978,9.321816,200.000000
1.030,14.566400,9.362685,200.000000
1.040,14.707821,9.402573,200.000000
1.050,14.849242,9.441480,200.000000
1.060,14.990664,9.479406,200.000000
1.070,15.132085,9.516351,200.000000
1.080,15.273506,9.552314,200.000000
1.090,15.414928,9.587297,200.000000
1.100,15.556349,9.621299,200.000000
1.110,15.697771,9.654320,200.000000
1.120,15.839192,9.686360,200.000000
1.130,15.980613,9.717419,200.000000
1.140,16.122035,9.747497,200.000000
1.150,16.263456,9.776593,200.000000
1.160,16.404877,9.804709,200.000000
1.170,16.546299,9.831844,200.000000
1.180,16.687720,9.857998,200.000000
1.190,16.829141,9.883171,200.000000
1.200,16.970563,9.907363,200.000000
1.210,17.111984,9.930574,200.000000
1.220,17.253405,9.952803,200.000000
1.230,17.394827,9.974052,200.000000
1.240,17.536248,9.994320,200.000000
1.250,17.677670,10.013607,200.000000
1.260,17.819091,10.031913,200.000000
1.270,17.960512,10.049238,200.000000
1.280,18.101934,10.065582,200.000000
1.290,18.243355,10.080944,200.000000
1.300,18.384776,10.095326,200.000000
1.310,18.526198,10.108727,200.000000
1.320,18.667619,10.121147,200.000000
1.330,18.809040,10.132586,200.000000
1.340,18.950462,10.143044,200.000000
1.350,19.091883,10.152521,200.000000
1.360,19.233304,10.161016,200.000000
1.370,19.374726,10.168531,200.000000
1.380,19.516147,10.175065,200.000000
1.390,19.657569,10.180618,200.000000
1.400,19.798990,10.185190,200.000000
1.410,19.940411,10.188781,200.000000
1.420,20.081833,10.191391,200.000000
1.430,20.223254,10.193019,200.000000
1.440,20.364675,10.193667,200.000000
1.450,20.506097,10.193334,200.000000
1.460,20.647518,10.192020,200.000000
1.470,20.788939,10.189725,200.000000
1.480,20.930361,10.186449,200.000000
1.490,21.071782,10.182192,200.000000
1.500,21.213203,10.176953,200.000000
1.510,21.354625,10.170734,200.000000
1.520,21.496046,10.163534,200.000000
1.530,21.637468,10.155353,200.000000
1.540,21.778889,10.146191,200.000000
1.550,21.920310,10.136048,200.000000
1.560,22.061732,10.124924,200.000000
1.570,22.203153,10.112818,200.000000
1.580,22.344574,10.099732,200.000000
1.590,22.485996,10.085665,200.000000
1.600,22.627417,10.070617,200.000000
1.610,22.768838,10.054588,200.000000
1.620,22.910260,10.037578,200.000000
1.630,23.051681,10.019587,200.000000
1.640,23.193102,10.000614,200.000000
1.650,23.334524,9.980661,200.000000
1.660,23.475945,9.959727,200.000000
1.670,23.617366,9.937812,200.000000
1.680,23.758788,9.914916,200.000000
1.690,23.900209,9.891039,200.000000
1.700,24.041631,9.866181,200.000000
1.710,24.183052,9.840341,200.000000
1.720,24.324473,9.813521,200.000000
1.730,24.465895,9.785720,200.000000
1.740,24.607316,9.756938,200.000000
1.750,24.748737,9.727175,200.000000
1.760,24.890159,9.696431,200.000000
1.770,25.031580,9.664706,200.000000
1.780,25.173001,9.631999,200.000000
1.790,25.314423,9.598312,200.000000
1.800,25.455844,9.563644,200.000000
1.810,25.597265,9.527995,200.000000
1.820,25.738687,9.491365,200.000000
1.830,25.880108,9.453754,200.000000
1.840,26.021530,9.415162,200.000000
1.850,26.162951,9.375588,200.000000
1.860,26.304372,9.335034,200.000000
1.870,26.445794,9.293499,200.000000
1.880,26.587215,9.250983,200.000000
1.890,26.728636,9.207486,200.000000
1.900,26.870058,9.163008,200.000000
1.910,27.011479,9.117549,200.000000
1.920,27.152900,9.071108,200.000000
1.930,27.294322,9.023687,200.000000
1.940,27.435743,8.975285,200.000000
1.950,27.577164,8.925902,200.000000
1.960,27.718586,8.875538,200.000000
1.970,27.860007,8.824193,200.000000
1.980,28.001429,8.771867,200.000000
1.990,28.142850,8.718559,200.000000
2.000,28.284271,8.664271,200.000000
2.010,28.425693,8.609002,200.000000
2.020,28.567114,8.552752,200.000000
2.030,28.708535,8.495521,200.000000
2.040,28.849957,8.437309,200.000000
2.050,28.991378,8.378116,200.000000
2.060,29.132799,8.317941,200.000000
2.070,29.274221,8.256786,200.000000
2.080,29.415642,8.194650,200.000000
2.090,29.557063,8.131533,200.000000
2.100,29.698485,8.067435,200.000000
2.110,29.839906,8.002356,200.000000
2.120,29.981328,7.936296,200.000000
2.130,30.122749,7.869254,200.000000
2.140,30.264170,7.801232,200.000000
2.150,30.405592,7.732229,200.000000
2.160,30.547013,7.662245,200.000000
2.170,30.688434,7.591280,200.000000
2.180,30.829856,7.519334,200.000000
2.190,30.971277,7.446407,200.000000
2.200,31.112698,7.372498,200.000000
2.210,31.254120,7.297609,200.000000
2.220,31.395541,7.221739,200.000000
2.230,31.536962,7.144888,200.000000
2.240,31.678384,7.067056,200.000000
2.250,31.819805,6.988243,200.000000
2.260,31.961227,6.908449,200.000000
2.270,32.102648,6.827673,200.000000
2.280,32.244069,6.745917,200.000000
2.290,32.385491,6.663180,200.000000
2.300,32.526912,6.579462,200.000000
2.310,32.668333,6.494763,200.000000
2.320,32.809755,6.409083,200.000000
2.330,32.951176,6.322422,200.000000
2.340,33.092597,6.234779,200.000000
2.350,33.234019,6.146156,200.000000
2.360,33.375440,6.056552,200.000000
2.370,33.516861,5.965967,200.000000
2.380,33.658283,5.874401,200.000000
2.390,33.799704,5.781854,200.000000
2.400,33.941125,5.688325,200.000000
2.410,34.082547,5.593816,200.000000
2.420,34.223968,5.498326,200.000000
2.430,34.365390,5.401855,200.000000
2.440,34.506811,5.304403,200.000000
2.450,34.648232,5.205970,200.000000
2.460,34.789654,5.106556,200.000000
2.470,34.931075,5.006160,200.000000
2.480,35.072496,4.904784,200.000000
2.490,35.213918,4.802427,200.000000
2.500,35.355339,4.699089,200.000000
2.510,35.496760,4.594770,200.000000
2.520,35.638182,4.489470,200.000000
2.530,35.779603,4.383189,200.000000
2.540,35.921024,4.275926,200.000000
2.550,36.062446,4.167683,200.000000
2.560,36.203867,4.058459,200.000000
2.570,36.345289,3.948254,200.000000
2.580,36.486710,3.837068,200.000000
2.590,36.628131,3.724901,200.000000
2.600,36.769553,3.611753,200.000000
2.610,36.910974,3.497623,200.000000
2.620,37.052395,3.382513,200.000000
2.630,37.193817,3.266422,200.000000
2.640,37.335238,3.149350,200.000000
2.650,37.476659,3.031297,200.000000
2.660,37.618081,2.912263,200.000000
2.670,37.759502,2.792248,200.000000
2.680,37.900923,2.671251,200.000000
2.690,38.042345,2.549274,200.000000
2.700,38.183766,2.426316,200.000000
2.710,38.325188,2.302377,200.000000
2.720,38.466609,2.177457,200.000000
2.730,38.608030,2.051556,200.000000
2.740,38.749452,1.924674,200.000000
2.750,38.890873,1.796810,200.000000
2.760,39.032294,1.667966,200.000000
2.770,39.173716,1.538141,200.000000
2.780,39.315137,1.407335,200.000000
2.790,39.456558,1.275548,200.000000
2.800,39.597980,1.142780,200.000000
2.810,39.739401,1.009031,200.000000
2.820,39.880822,0.874300,200.000000
2.830,40.022244,0.738589,200.000000
2.840,40.163665,0.601897,200.000000
2.850,40.305087,0.464224,200.000000
2.860,40.446508,0.325570,200.000000
2.870,40.587929,0.185935,200.000000
2.880,40.729351,0.045319,200.000000
